name,compressed_bit_size,original_bit_theory,avg_bit_per_entry,time_quantlization,time_val2index,time_encoding,time_used
R_0_E_0_S_48_B_115.pt,146422548,235053056,9.966944518262293,0.7399458885192871,2.9353630542755127,12.846754550933838,16.522063493728638
R_0_E_0_S_41_B_54.pt,190316504,234897408,12.963378735962893,0.8534097671508789,2.584040641784668,12.974503993988037,16.411954402923584
R_1_E_0_S_29_B_15.pt,168639372,235053056,11.479237912992716,1.1898045539855957,2.556687831878662,12.965248823165894,16.71174120903015
R_1_E_0_S_27_B_44.pt,199279002,234897408,13.573857877563297,1.493713140487671,4.709278345108032,11.25178337097168,17.454774856567383
R_1_E_0_S_18_B_140.pt,199616556,234938368,13.594479791397887,1.738111972808838,5.2355852127075195,10.496993780136108,17.470690965652466
R_0_E_0_S_33_B_45.pt,169907238,235053056,11.565541219766144,1.2298049926757812,4.938708066940308,12.905054807662964,19.073567867279053
R_1_E_0_S_21_B_110.pt,158004336,235053056,10.755313796047817,0.12646007537841797,2.8534722328186035,16.17613697052002,19.15606927871704
R_0_E_0_S_29_B_55.pt,172687576,235053056,11.754798099710731,1.4702022075653076,2.523871421813965,13.806167364120483,17.800240993499756
R_1_E_0_S_1_B_69.pt,240998234,234897408,16.415556803419474,1.5625977516174316,2.0251710414886475,14.622864961624146,18.210633754730225
R_0_E_0_S_20_B_40.pt,179359610,235053056,12.208961707777158,1.113312005996704,2.9380509853363037,14.112385034561157,18.163748025894165
R_1_E_0_S_47_B_24.pt,182208332,234897408,12.411091875479528,1.3445501327514648,4.863034248352051,12.929455757141113,19.13704013824463
R_0_E_0_S_44_B_44.pt,190603068,234897408,12.982897997750575,0.692680835723877,2.835409164428711,17.07945942878723,20.60754942893982
R_1_E_0_S_33_B_139.pt,198475800,234897408,13.519147899665201,1.8707544803619385,6.794180393218994,12.284965753555298,20.94990062713623
R_0_E_0_S_43_B_114.pt,175095462,234897408,11.926599854179745,1.2712340354919434,3.8969130516052246,16.271806001663208,21.439953088760376
R_0_E_0_S_28_B_65.pt,169695366,235053056,11.55111914818074,1.8053362369537354,4.435194253921509,16.308932781219482,22.549463272094727
R_1_E_0_S_45_B_120.pt,124822194,235053056,8.496614075079288,2.1891634464263916,4.840043544769287,15.685404777526855,22.714611768722534
R_0_E_0_S_26_B_134.pt,179389800,234897408,12.219108011613308,0.8946709632873535,5.213689088821411,17.352823495864868,23.461183547973633
R_1_E_0_S_43_B_94.pt,185182082,234897408,12.613648389002233,1.7287414073944092,5.310694456100464,16.47351837158203,23.512954235076904
R_0_E_0_S_22_B_70.pt,165383126,235053056,11.257586100050535,1.707885980606079,6.386066675186157,16.29503846168518,24.388991117477417
R_0_E_0_S_44_B_131.pt,466366096,1086324736,6.868901433171453,3.319455623626709,7.40999960899353,26.567171096801758,37.296626329422
R_1_E_0_S_23_B_22.pt,780029886,1086324736,11.488717657258611,3.4902544021606445,7.166590452194214,26.28627061843872,36.94311547279358
R_1_E_0_S_7_B_57.pt,904465882,1086324736,13.321480798905421,2.1202197074890137,5.351492404937744,32.40637397766113,39.87808609008789
R_1_E_0_S_9_B_101.pt,852239094,1086324736,12.55225537274335,1.3026502132415771,4.119549751281738,35.690770626068115,41.11297059059143
R_1_E_0_S_23_B_72.pt,807803740,1086324736,11.897786556523739,4.045037508010864,6.372015714645386,28.473319053649902,38.89037227630615
R_1_E_0_S_17_B_73.pt,781679216,1086324736,11.513009914560207,1.025242567062378,3.204237461090088,37.1396758556366,41.36915588378906
R_1_E_0_S_43_B_82.pt,797627822,1086324736,11.74790992884102,2.4763994216918945,7.32494854927063,30.65792727470398,40.459275245666504
R_0_E_0_S_7_B_126.pt,871342030,1086324736,12.833614128436821,2.6615827083587646,8.158814191818237,33.41143751144409,44.231834411621094
R_1_E_0_S_11_B_86.pt,928081328,1086324736,13.669302332815516,3.416003465652466,7.614468097686768,32.93429446220398,43.96476602554321
R_1_E_0_S_41_B_33.pt,765819552,1086324736,11.279419887940396,2.195124387741089,4.339458227157593,35.835328817367554,42.369911432266235
R_0_E_0_S_23_B_67.pt,821226108,1086324736,12.095478720646568,2.9487438201904297,7.142521381378174,34.33882546424866,44.43009066581726
R_0_E_0_S_37_B_36.pt,807278066,1086324736,11.890044135016364,3.994270086288452,7.465547800064087,33.114503622055054,44.57432150840759
R_1_E_0_S_31_B_128.pt,459975528,1086324736,6.774777563382299,3.4206199645996094,6.890100002288818,33.31637787818909,43.627097845077515
R_1_E_0_S_50_B_33.pt,760276264,1086324736,11.19777523320614,2.5497615337371826,7.958399057388306,31.99594497680664,42.50410556793213
R_1_E_0_S_27_B_7.pt,781174516,1086324736,11.505576409888544,2.680940628051758,8.208298683166504,34.44024872779846,45.329488039016724
R_1_E_0_S_52_B_68.pt,794943422,1086324736,11.708372580038535,4.388558626174927,6.5970399379730225,33.851033449172974,44.83663201332092
R_0_E_0_S_47_B_116.pt,697858052,1086324736,10.278444798296483,2.6463141441345215,7.767186641693115,34.87673234939575,45.29023313522339
R_1_E_0_S_51_B_107.pt,789039034,1086324736,11.621409441973713,4.96235990524292,8.38184404373169,32.287038803100586,45.631242752075195
R_0_E_0_S_11_B_22.pt,889956980,1086324736,13.10778555262503,4.79474949836731,8.515170335769653,32.08120632171631,45.39112615585327
R_0_E_0_S_52_B_41.pt,834288946,1086324736,12.287875525279395,5.186701774597168,8.091800451278687,32.142685890197754,45.42118811607361
R_0_E_0_S_26_B_136.pt,705944710,1086324736,10.397549632893567,4.4964516162872314,4.437133073806763,35.72676634788513,44.660351037979126
R_0_E_0_S_24_B_13.pt,803680184,1086324736,11.837052510972189,3.561687707901001,7.475233316421509,35.142324447631836,46.179245471954346
R_0_E_0_S_32_B_63.pt,782131888,1086324736,11.519677121666868,2.770340919494629,7.199506759643555,37.929033041000366,47.89888072013855
R_0_E_0_S_8_B_51.pt,894408304,1086324736,13.173347149116193,5.615994691848755,8.35888123512268,34.25094676017761,48.22582268714905
R_0_E_0_S_50_B_68.pt,759306666,1086324736,11.183494450042607,4.4838316440582275,6.5298192501068115,37.05154871940613,48.06519961357117
R_1_E_0_S_5_B_113.pt,900344160,1086324736,13.260773765534507,3.754884958267212,6.559473752975464,37.55681014060974,47.87116885185242
R_1_E_0_S_52_B_86.pt,836804882,1086324736,12.324931641803285,3.865600109100342,7.610740661621094,37.60056829452515,49.07690906524658
R_0_E_0_S_37_B_95.pt,159335102,235053056,10.845898689358032,0.207017183303833,1.7701454162597656,14.240212202072144,16.217374801635742
R_1_E_0_S_22_B_125.pt,158852736,235053056,10.813064161990729,0.6073460578918457,4.043872594833374,14.38075590133667,19.03197455406189
R_1_E_0_S_33_B_14.pt,179702664,234897408,12.240418693764386,0.857140302658081,1.3949494361877441,15.916801929473877,18.168891668319702
R_1_E_0_S_18_B_129.pt,199336170,234897408,13.577751866891608,0.7245726585388184,2.9997012615203857,17.06449270248413,20.788766622543335
R_1_E_0_S_42_B_129.pt,180402768,234897408,12.288106167608285,0.6679098606109619,3.532588481903076,16.55643081665039,20.75692915916443
R_1_E_0_S_44_B_64.pt,188949392,234897408,12.870258117109577,1.6361432075500488,5.178233861923218,14.70670223236084,21.521079301834106
R_1_E_0_S_23_B_60.pt,168548210,235053056,11.473032539513122,1.1529173851013184,3.4629251956939697,16.267813205718994,20.883655786514282
R_1_E_0_S_28_B_30.pt,173315976,235053056,11.797573123235633,1.0966620445251465,3.5390615463256836,16.50913715362549,21.14486074447632
R_0_E_0_S_30_B_34.pt,194731194,234897408,13.26408465094685,1.3623058795928955,3.505131721496582,16.939542770385742,21.80698037147522
R_1_E_0_S_52_B_120.pt,131211878,235053056,8.931558192546962,1.5936193466186523,6.529815196990967,15.034226417541504,23.157660961151123
R_0_E_0_S_52_B_114.pt,180067218,234897408,12.265250232135385,0.7550961971282959,6.769974231719971,15.294661283493042,22.81973171234131
R_1_E_0_S_52_B_115.pt,149198672,235053056,10.155914552329836,1.5931401252746582,5.287542104721069,16.2373788356781,23.118061065673828
R_1_E_0_S_32_B_14.pt,182234040,234897408,12.412842971856037,1.1755030155181885,5.337552070617676,17.180184841156006,23.69323992729187
R_1_E_0_S_47_B_89.pt,183518224,234897408,12.500314963032713,0.8786172866821289,2.6900634765625,19.898162126541138,23.466842889785767
R_1_E_0_S_30_B_109.pt,190633746,234897408,12.984987624895375,0.7910070419311523,7.029831647872925,17.13196301460266,24.95280170440674
R_0_E_0_S_40_B_114.pt,170781234,234897408,11.632736892524587,0.8613114356994629,4.493025779724121,20.457619667053223,25.811956882476807
R_1_E_0_S_30_B_84.pt,195346154,234897408,13.305972554622654,1.593003273010254,4.377321004867554,19.785510063171387,25.755834341049194
R_1_E_0_S_8_B_104.pt,214360782,234897408,14.601150950120319,0.7497303485870361,5.122502326965332,22.201537132263184,28.07376980781555
R_0_E_0_S_3_B_65.pt,203718638,235053056,13.867074368095006,1.0186541080474854,6.190819263458252,20.514561414718628,27.724034786224365
R_0_E_0_S_45_B_139.pt,198915572,234897408,13.54910290027551,1.699760913848877,6.295908451080322,20.322494506835938,28.318163871765137
R_1_E_0_S_47_B_128.pt,472038364,1086324736,6.952445777686867,2.0724852085113525,5.159223794937134,29.96040153503418,37.192110538482666
R_1_E_0_S_29_B_48.pt,796335812,1086324736,11.7288804809099,1.1400609016418457,3.275351047515869,32.641459465026855,37.05687141418457
R_1_E_0_S_25_B_96.pt,809082824,1086324736,11.916625623077039,1.9963409900665283,5.713457345962524,34.88692831993103,42.59672665596008
R_1_E_0_S_0_B_133.pt,583516056,1086324736,8.594351750082952,4.825501441955566,6.578309535980225,30.117416381835938,41.52122735977173
R_0_E_0_S_16_B_2.pt,780724860,1086324736,11.498953624121471,5.529584884643555,5.7991392612457275,33.13183832168579,44.46056246757507
R_0_E_0_S_7_B_56.pt,906562246,1086324736,13.352357223687484,3.130856990814209,7.380072116851807,34.646679639816284,45.1576087474823
R_0_E_0_S_6_B_56.pt,906108282,1086324736,13.34567098728018,3.714665412902832,7.130900859832764,34.69578456878662,45.54135084152222
R_1_E_0_S_33_B_131.pt,489432570,1086324736,7.208637399562997,5.216524839401245,5.811630964279175,34.10655450820923,45.13471031188965
R_1_E_0_S_41_B_77.pt,793864046,1086324736,11.692474924919688,1.5074207782745361,3.049928665161133,40.061137199401855,44.618486642837524
R_1_E_0_S_40_B_77.pt,789861560,1086324736,11.633524066232807,1.429964542388916,3.5341591835021973,38.40343761444092,43.36756134033203
R_0_E_0_S_39_B_1.pt,791034384,1086324736,11.65079807590794,1.825119972229004,3.433516263961792,39.11193108558655,44.370567321777344
R_0_E_0_S_16_B_77.pt,827862674,1086324736,12.1932257869529,2.7321860790252686,6.12732195854187,36.1805465221405,45.04005455970764
R_0_E_0_S_22_B_11.pt,831665928,1086324736,12.249242245000302,1.9722349643707275,6.77297830581665,39.09268093109131,47.83789420127869
R_0_E_0_S_20_B_82.pt,828616552,1086324736,12.204329324965311,3.0659313201904297,7.579212188720703,36.8724627494812,47.517606258392334
R_1_E_0_S_21_B_7.pt,789468908,1086324736,11.627740867349631,5.356950759887695,4.467849254608154,36.97526288032532,46.80006289482117
R_1_E_0_S_21_B_63.pt,801803854,1086324736,11.809416870352845,2.1175284385681152,6.494233131408691,38.42763710021973,47.03939867019653
R_1_E_0_S_37_B_76.pt,810235962,1086324736,11.933609686302862,4.43145489692688,6.941409587860107,35.308178424835205,46.68104290962219
R_0_E_0_S_35_B_52.pt,783734046,1086324736,11.54327460329505,2.003291130065918,6.545196294784546,38.825066328048706,47.37355375289917
R_0_E_0_S_9_B_62.pt,851892998,1086324736,12.54715787674009,4.331898212432861,6.940258502960205,37.1845760345459,48.456732749938965
R_0_E_0_S_36_B_53.pt,779165150,1086324736,11.475981340445147,5.746718645095825,5.8361616134643555,36.351876974105835,47.934757232666016
R_1_E_0_S_8_B_2.pt,846728998,1086324736,12.471099588401529,5.375058174133301,5.973701000213623,37.37489342689514,48.723652601242065
R_0_E_0_S_14_B_133.pt,550939970,1086324736,8.114552884488493,3.544630289077759,6.624272108078003,40.02583861351013,50.194741010665894
R_0_E_0_S_51_B_108.pt,735646304,1086324736,10.835011368092422,4.99331521987915,6.80290150642395,38.754399061203,50.5506157875061
R_0_E_0_S_12_B_21.pt,921756126,1086324736,13.576141210136266,2.477454423904419,8.645317554473877,38.797051191329956,49.91982316970825
R_0_E_0_S_3_B_13.pt,932141044,1086324736,13.729096107041054,2.554683208465576,8.488600730895996,39.11699366569519,50.16027760505676
